"function_name","category","version_marker","tier","tier_label","description"
"VARP","Compatibility","","2","baseline_context","Calculates variance based on the entire population"
"VARPA","Statistical functions","","1","regular_pure_or_low_risk","Calculates variance based on the entire population, including numbers, text, and logical values"
"VDB","Financial functions","","1","regular_pure_or_low_risk","Returns the depreciation of an asset for a specified or partial period by using a declining balance method"
"VLOOKUP","Lookup and reference functions","","2","baseline_context","Looks in the first column of an array and moves across the row to return the value of a cell"
"WEEKDAY","Date and time functions","","2","baseline_context","Converts a serial number to a day of the week"
"WEEKNUM","Date and time functions","","2","baseline_context","Converts a serial number to a number representing where the week falls numerically with a year"
"WEIBULL","Compatibility","","2","baseline_context","Returns the Weibull distribution"
"WEIBULL.DIST","Statistical functions","","1","regular_pure_or_low_risk","Returns the Weibull distribution"
"WORKDAY","Date and time functions","","2","baseline_context","Returns the serial number of the date before or after a specified number of workdays"
"WORKDAY.INTL","Date and time functions","","2","baseline_context","Returns the serial number of the date before or after a specified number of workdays using parameters to indicate which and how many days are weekend days"
"XIRR","Financial functions","","1","regular_pure_or_low_risk","Returns the internal rate of return for a schedule of cash flows that is not necessarily periodic"
"XNPV","Financial functions","","1","regular_pure_or_low_risk","Returns the net present value for a schedule of cash flows that is not necessarily periodic"
"XOR","Logical functions","","1","regular_pure_or_low_risk","Returns a logical exclusive OR of all arguments"
"YEAR","Date and time functions","","2","baseline_context","Converts a serial number to a year"
"YEARFRAC","Date and time functions","","2","baseline_context","Returns the year fraction representing the number of whole days between start_date and end_date"
"YIELD","Financial functions","","1","regular_pure_or_low_risk","Returns the yield on a security that pays periodic interest"
"YIELDDISC","Financial functions","","1","regular_pure_or_low_risk","Returns the annual yield for a discounted security; for example, a Treasury bill"
"YIELDMAT","Financial functions","","1","regular_pure_or_low_risk","Returns the annual yield of a security that pays interest at maturity"
"Z.TEST","Statistical functions","","1","regular_pure_or_low_risk","Returns the one-tailed probability-value of a z-test"
"ZTEST","Compatibility","","2","baseline_context","Returns the one-tailed probability-value of a z-test"
